,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention
780,tldr,https://github.com/tldr-pages/tldr,Shell,Other,29999,86,0,1438,8,29.9,0,633,603,1.8,179,0.70225,angular
791,mpv,https://github.com/mpv-player/mpv,C,Other,13810,242,0,516,2,17.6,2,388,253,3.3,3553,0.7014600000000001,angular
795,iproute2,https://github.com/shemminger/iproute2,C,GNU General Public License v2.0,372,204,0,564,6,6.7,6,3,3,2.0,20157,0.70115,angular
797,fwupd,https://github.com/fwupd/fwupd,C,GNU Lesser General Public License v2.1,1099,72,0,141,9,24.8,15,314,301,2.9,333,0.70108,angular
802,python-docs-samples,https://github.com/GoogleCloudPlatform/python-docs-samples,Python,Apache License 2.0,4686,97,0,366,4,26.4,0,453,415,3.1,3366,0.70035,angular
812,nx,https://github.com/nrwl/nx,TypeScript,MIT License,5640,41,0,262,6,22.1,86,920,616,1.9,449,0.69962,angular
813,json,https://github.com/nlohmann/json,C++,MIT License,22634,91,0,212,5,10.2,3,89,70,3.3,9390,0.69925,atom
814,tensorboard,https://github.com/tensorflow/tensorboard,TypeScript,Apache License 2.0,5106,63,0,248,5,19.1,6,399,320,1.0,7673,0.69923,angular
830,flow,https://github.com/vaadin/flow,Java,Apache License 2.0,278,174,0,187,4,16.5,93,786,554,1.5,854,0.6984600000000001,angular
831,puppeteer,https://github.com/puppeteer/puppeteer,TypeScript,Apache License 2.0,67902,45,0,321,5,7.9,21,559,232,1.4,3469,0.6984100000000001,angular
834,openmrs-core,https://github.com/openmrs/openmrs-core,Java,Other,956,179,0,433,7,9.2,10,259,98,0.6,2255,0.69831,angular
838,vue-router,https://github.com/vuejs/vue-router,JavaScript,MIT License,17563,86,0,251,7,4.0,19,172,140,1.4,3436,0.69812,angular
851,lighthouse,https://github.com/GoogleChrome/lighthouse,JavaScript,Apache License 2.0,21483,61,0,274,7,11.8,10,513,348,2.1,863,0.69744,angular
852,gnuradio,https://github.com/gnuradio/gnuradio,C++,GNU General Public License v3.0,2537,176,0,364,4,11.5,4,441,308,2.3,1737,0.69743,angular
854,rclone,https://github.com/rclone/rclone,Go,MIT License,25324,99,0,423,4,21.9,9,816,245,2.2,464,0.69729,angular
856,argo,https://github.com/argoproj/argo,Go,Apache License 2.0,7229,41,0,337,6,22.5,85,836,651,2.4,181,0.69708,angular
860,pybind11,https://github.com/pybind/pybind11,C++,Other,8483,67,0,225,9,6.6,6,324,212,4.0,648,0.69686,angular
863,zeebe,https://github.com/zeebe-io/zeebe,Java,,1680,59,0,64,5,28.4,38,1303,1029,1.7,2079,0.69665,angular
878,rest.js,https://github.com/octokit/rest.js,JavaScript,MIT License,4390,129,1,247,8,7.5,59,97,87,1.6,2004,0.6954899999999999,angular
883,husky,https://github.com/typicode/husky,Shell,Other,21370,80,1,67,10,2.4,24,124,91,2.1,22102,0.69525,angular
885,typedoc,https://github.com/TypeStrong/typedoc,HTML,Apache License 2.0,4427,81,0,148,6,6.0,39,261,226,1.6,3244,0.6952,angular
890,element3,https://github.com/hug-sun/element3,JavaScript,MIT License,2459,54,0,669,9,24.2,28,343,317,0.8,114,0.69497,angular
898,suricata,https://github.com/OISF/suricata,C,GNU General Public License v2.0,1849,140,0,203,5,21.0,12,290,243,1.4,1322,0.69406,angular
899,discord.js,https://github.com/discordjs/discord.js,JavaScript,Apache License 2.0,8741,66,0,288,4,8.9,17,481,396,1.6,2484,0.69399,angular
909,html-webpack-plugin,https://github.com/jantimon/html-webpack-plugin,JavaScript,MIT License,9322,78,0,152,9,1.2,12,120,82,4.0,2942,0.69348,angular
915,translate,https://github.com/translate/translate,Python,GNU General Public License v2.0,576,176,0,111,5,6.3,6,95,88,0.7,85654,0.69318,angular
922,NativeScript,https://github.com/NativeScript/NativeScript,TypeScript,Apache License 2.0,19582,83,0,216,5,4.6,34,316,132,2.8,1346,0.6927800000000001,angular
927,lnd,https://github.com/lightningnetwork/lnd,Go,MIT License,4732,63,0,258,4,28.5,36,368,234,2.2,564,0.6924600000000001,angular
928,google-api-ruby-client,https://github.com/googleapis/google-api-ruby-client,Ruby,Apache License 2.0,2360,127,0,131,8,22.9,8,1472,1454,0.1,1769,0.69242,angular
932,golangci-lint,https://github.com/golangci/golangci-lint,Go,GNU General Public License v3.0,6859,33,0,179,7,8.6,27,371,295,1.7,2498,0.69193,angular
933,vuepress,https://github.com/vuejs/vuepress,JavaScript,MIT License,18128,34,0,349,11,3.9,12,198,96,1.6,3015,0.69188,angular
941,rustfmt,https://github.com/rust-lang/rustfmt,Rust,Other,3420,73,0,363,8,5.9,19,231,163,2.2,376,0.69122,angular
948,amplify-js,https://github.com/aws-amplify/amplify-js,TypeScript,Apache License 2.0,7688,40,0,320,4,13.5,1165,1015,636,2.4,526,0.69057,angular
959,criu,https://github.com/checkpoint-restore/criu,C,Other,1339,113,0,147,7,6.0,7,247,118,2.3,2638,0.6895100000000001,angular
964,awesome,https://github.com/awesomeWM/awesome,Lua,GNU General Public License v2.0,3653,162,1,372,6,2.9,7,60,21,4.1,4364,0.68914,angular
973,agda,https://github.com/agda/agda,Haskell,Other,1410,187,0,160,5,26.2,4,228,121,2.5,1691,0.68806,ember
976,react-query,https://github.com/tannerlinsley/react-query,TypeScript,MIT License,16436,16,0,224,8,16.0,190,246,218,3.4,635,0.68788,angular
983,sweetalert2,https://github.com/sweetalert2/sweetalert2,JavaScript,MIT License,12272,76,0,106,10,5.6,80,93,86,2.4,1330,0.68739,angular
