,conventional_commits,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention
178,576,vue-router,https://github.com/vuejs/vue-router,JavaScript,MIT License,17563,86,0,251,7,4.0,19,172,140,1.4,3436,0.69812,angular
179,575,theme-ui,https://github.com/system-ui/theme-ui,TypeScript,MIT License,3336,22,0,111,7,16.7,75,361,292,2.2,1013,0.67043,angular
180,554,jsdoc,https://github.com/jsdoc/jsdoc,JavaScript,Apache License 2.0,11496,132,0,103,8,2.6,12,101,23,0.4,1149,0.61588,angular
181,533,serverless-application-model,https://github.com/aws/serverless-application-model,Python,Apache License 2.0,7618,52,0,204,8,2.2,16,220,116,1.1,142,0.61326,angular
182,515,berry,https://github.com/yarnpkg/berry,TypeScript,"BSD 2-Clause ""Simplified"" License",2766,29,0,173,9,16.9,331,514,395,2.3,92,0.6632399999999999,angular
183,500,django-allauth,https://github.com/pennersr/django-allauth,Python,MIT License,6106,125,1,523,8,2.5,5,199,111,1.0,489,0.64439,angular
184,498,node-ytdl-core,https://github.com/fent/node-ytdl-core,JavaScript,MIT License,2087,103,0,71,4,5.3,48,155,141,4.1,1096,0.66496,angular
185,496,typedoc,https://github.com/TypeStrong/typedoc,HTML,Apache License 2.0,4427,81,0,148,6,6.0,39,261,226,1.6,3244,0.6952,angular
186,494,dom-testing-library,https://github.com/testing-library/dom-testing-library,JavaScript,MIT License,2421,34,0,150,9,4.4,109,101,70,4.0,942,0.67881,angular
187,484,lint-staged,https://github.com/okonet/lint-staged,JavaScript,MIT License,7927,61,0,97,9,1.9,42,46,27,3.3,28331,0.71315,angular
188,468,vega,https://github.com/vega/vega,JavaScript,"BSD 3-Clause ""New"" or ""Revised"" License",8908,96,0,107,9,10.3,19,138,96,1.1,2556,0.68715,angular
189,435,user-event,https://github.com/testing-library/user-event,JavaScript,MIT License,1046,28,1,70,10,4.0,75,94,63,3.1,4844,0.6594300000000001,angular
190,430,react-testing-library,https://github.com/testing-library/react-testing-library,JavaScript,MIT License,13510,34,1,155,9,2.1,37,94,88,3.3,4766,0.67698,angular
191,418,mongodb-memory-server,https://github.com/nodkz/mongodb-memory-server,TypeScript,,1303,45,0,76,7,3.2,52,52,34,2.7,315,0.6099,angular
192,404,css-loader,https://github.com/webpack-contrib/css-loader,JavaScript,MIT License,3907,107,2,104,8,2.1,15,50,38,3.3,21778,0.68648,angular
193,372,fastify,https://github.com/fastify/fastify,JavaScript,Other,16872,52,0,337,8,8.2,35,203,168,3.5,10185,0.76413,angular
194,369,socket.io,https://github.com/socketio/socket.io,JavaScript,MIT License,52145,132,0,176,9,1.6,11,108,66,2.4,1752,0.68152,angular
195,368,spotbugs,https://github.com/spotbugs/spotbugs,Java,GNU Lesser General Public License v2.1,2146,217,0,133,6,4.9,17,90,58,1.5,2660,0.66984,angular
196,363,nodemon,https://github.com/remy/nodemon,JavaScript,MIT License,21759,125,1,149,8,0.3,4,80,59,2.5,5320,0.64568,angular
197,328,pybind11,https://github.com/pybind/pybind11,C++,Other,8483,67,0,225,9,6.6,6,324,212,4.0,648,0.69686,angular
198,294,vuejs.org,https://github.com/vuejs/vuejs.org,JavaScript,MIT License,4767,85,0,669,8,2.7,3,58,24,0.4,1062,0.63348,angular
199,293,validator.js,https://github.com/validatorjs/validator.js,JavaScript,MIT License,16922,125,1,354,11,2.9,4,143,98,2.7,412,0.66199,angular
200,282,copy-webpack-plugin,https://github.com/webpack-contrib/copy-webpack-plugin,JavaScript,MIT License,2543,63,1,45,8,1.6,16,51,47,2.2,11391,0.6362899999999999,angular
201,282,vuex,https://github.com/vuejs/vuex,JavaScript,MIT License,25490,67,0,311,7,2.1,14,112,81,1.4,1636,0.66471,angular
202,281,next-auth,https://github.com/nextauthjs/next-auth,JavaScript,ISC License,4029,36,0,123,8,12.9,25,381,271,3.0,8,0.61051,angular
203,270,socket.io-client,https://github.com/socketio/socket.io-client,TypeScript,MIT License,8898,132,0,119,7,1.4,12,78,46,2.7,677,0.64179,angular
204,267,koa,https://github.com/koajs/koa,JavaScript,MIT License,30501,91,0,208,10,0.6,12,20,15,2.2,859,0.64062,angular
205,267,html-webpack-plugin,https://github.com/jantimon/html-webpack-plugin,JavaScript,MIT License,9322,78,0,152,9,1.2,12,120,82,4.0,2942,0.69348,angular
206,238,react-table,https://github.com/tannerlinsley/react-table,JavaScript,MIT License,13218,51,0,263,7,5.9,21,150,94,1.7,328,0.65322,angular
207,218,marked,https://github.com/markedjs/marked,JavaScript,Other,24084,115,0,128,9,6.1,14,190,172,1.9,3019,0.70627,angular
208,217,grpc-gateway,https://github.com/grpc-ecosystem/grpc-gateway,Go,"BSD 3-Clause ""New"" or ""Revised"" License",9997,70,0,227,7,10.1,23,190,168,1.8,663,0.6862,angular
209,213,sanity,https://github.com/sanity-io/sanity,TypeScript,MIT License,2232,59,0,51,4,37.8,51,242,116,1.1,1377,0.6416,angular
210,202,fork-ts-checker-webpack-plugin,https://github.com/TypeStrong/fork-ts-checker-webpack-plugin,TypeScript,MIT License,1273,45,0,79,11,1.6,68,75,54,2.5,905,0.64055,angular
211,199,bull,https://github.com/OptimalBits/bull,JavaScript,Other,9891,92,1,186,9,1.8,12,123,71,1.9,441,0.63221,angular
212,194,sass-loader,https://github.com/webpack-contrib/sass-loader,JavaScript,MIT License,3537,84,2,85,8,1.3,14,29,24,2.9,18891,0.6554300000000001,angular
213,193,yup,https://github.com/jquense/yup,TypeScript,MIT License,11995,77,0,121,7,2.6,15,251,154,1.7,553,0.6413399999999999,angular
